program_name,recipients,description,uses,website,program_short_name
Carbon Capture Demonstration Projects Program,private clean energy providers,accelerate the deployment and market adoption of critical clean energy technologies,"the development of commercial-scale carbon capture technologies, pipeline transportation, and geologic storage infrastructure",https://www.energy.gov/oced/CCdemos,carbon_capture_dem
Battery Materials Processing and Battery Manufacturing and Recycling Program,"state and local governments, colleges and universities, national laboratories, and private entities",boost domestic production of advanced batteries and battery materials,"demonstration projects, constructing commercial-scale facilities, retrofitting or retooling existing battery material processing facilities, advanced battery manufacturing, and recycling",https://www.energy.gov/mesc/bipartisan-infrastructure-law-battery-materials-processing-and-battery-manufacturing-recycling,doe_battery
National Infrastructure Project Assistance Program (Mega Program),"states and state subdivisions, metropolitan planning organizations, local governments, transportation authorities, tribal governments, and Amtrak","generate national or regional economic, mobility, or safety benefits","highway or bridge projects on national systems or networks, freight intermodal or freight rail projects with public benefit, railway-highway grade separation or elimination, intercity rail, and public transportation projects",https://www.transportation.gov/grants/mega-grant-program,mega
Building Resilient Infrastructure and Communities (BRIC) Program,"states, local governments, tribal governments, and territories",reduce their hazard risk,disaster and natural hazards mitigation projects,https://www.fema.gov/grants/mitigation/learn/building-resilient-infrastructure-communities,bric
Grid Innovation Program,"states, local governments, tribal governments, and public utility commissions ",enhance grid resilience and reliability,"grid projects that take innovative approaches to grid transmission, storage, and infrastructure, including implementing advanced technologies, new partnerships, and planning processes",https://www.energy.gov/gdo/grid-innovation-program,doe_grid_innovation
"National Culvert Removal, Replacement and Restoration Grants","states, local governments, and tribal governments",meaningfully improve or restore fish passage for migratory fish,"the replacement, removal, and repair of culverts or weirs",https://www.fhwa.dot.gov/engineering/hydraulics/culverthyd/aquatic/culvertaop_grants.cfm,culvert_restore
Grid Resilience Utility and Industry Grants,"electric grid operators, electricity storage operators, electricity generators, transmission owners or operators, distribution providers, and fuel suppliers",support the modernization of the electric grid to reduce extreme weather and natural disaster effects,comprehensive transformational transmission and distribution technology solutions that mitigate multiple hazards across a region or within a community,https://www.energy.gov/gdo/grid-resilience-utility-and-industry-grants,doe_grid_resilience
Regional Conservation Partnership Program (RCPP),"producers, states, local governments, tribal governments, colleges and universities, nonprofits, conservation districts, land trusts, businesses, water districts, and wastewater treatment entities",find solutions to natural resource challenges on agricultural land,"conservation activities, such as land management, improvement, or restoration practices, land rentals, entity-held easements, US-held easements, and public works and watersheds",https://www.nrcs.usda.gov/programs-initiatives/rcpp-regional-conservation-partnership-program,ag_rcpp
Regional Clean Hydrogen Hubs (H2Hubs) Program,newly established hydrogen hubs,form a national clean hydrogen network that will help to decarbonize multiple sectors of the economy,"planning, development, and design activities around site selection, technology deployment, community engagement, labor partnerships, and workforce training",https://www.energy.gov/oced/regional-clean-hydrogen-hubs-0,clean_hydrogen
Carbon Storage Validation and Testing Program,"individuals, colleges and universities, for-profit and nonprofit organizations, states, local governments, and tribal governments",deploy carbon management technologies,the transport and permanent storage of carbon dioxide captured from industrial and power generation facilities or removed from the atmosphere,https://www.energy.gov/fecm/funding-notice-bipartisan-infrastructure-law-carbon-storage-validation-and-testing,doe_carbon_storage
Energy Improvements in Rural or Remote Areas (ERA) Program,"Local governments, tribal governments, and utility providers in communities with 10,000 or fewer people","improve the resilience, reliability, and affordability of energy systems","community-driven energy projects that demonstrate new energy systems, deliver measurable benefits to customers, and build clean energy knowledge and capacity throughout rural America",https://www.energy.gov/oced/era,doe_rural_energy
US Department of Transportation Thriving Communities Program,national and regional capacity-builders,"provide planning, technical assistance, and capacity building support to communities in areas of persistent poverty or those defined as historically disadvantaged by the Department of Transportation or other federal agencies ","advancing transformative infrastructure projects that increase mobility, reduce pollution, and expand affordable transportation options",https://www.transportation.gov/grants/thriving-communities,dot_tc
Indian Health Service (IHS) Sanitation Facilities Construction Program,tribal governments,help ensure Tribal communities have access to safe drinking water and waste disposal,"the development of sanitation, water supply, and waste disposal facilities; environmental engineering assistance; engineering design; and more",https://www.epa.gov/tribal-lands/indian-health-service-ihs-sanitation-facilities-construction-program,indian_health
Federal Motor Carrier Safety Administration (FMCSA) discretionary grants,"colleges and universities, states, training providers, nonprofits, and others",mitigate incidents involving commercial motor vehicles,"research, technology, and enforcement to reduce the number and severity of crashes",https://www.fmcsa.dot.gov/grants,motor_carrier_safety
Federal-State Partnership for Intercity Passenger Rail (FSP) Grant Program,"states, public agencies, and tribal governments","repair, expand, or create intercity passenger rail","capital projects that reduce the state of good repair backlog, improve performance, and expand or establish new intercity passenger rail service",https://railroads.dot.gov/federal-state-partnership-intercity-passenger ,fra_intercity_rail
Flood Mitigation Assistance (FMA) Grant Program,"states, local governments, and tribal communities",develop and implement hazard mitigation plans,hazard mitigation projects,https://www.fema.gov/grants/mitigation/learn/flood-mitigation-assistance ,dhs_flood
Brownfields Program,"states, local governments, and tribal governments","support the planning, construction, and operation of public infrastructure projects","addressing the economic, social, and environmental challenges caused by abandoned and potentially polluted industrial land—called brownfields—and investing in their revitalization",https://www.epa.gov/brownfields/bipartisan-infrastructure-law-historic-investment-brownfields ,brownfield
Consolidated Rail Infrastructure and Safety Improvements (CRISI) Program,"states, public agencies, rail carriers, transportation researchers, and nonprofits","improve the safety, efficiency, and reliability of intercity passenger and freight rail","implementing safety technology, capital projects, rail development plans, environmental analyses, workforce development, and research",https://railroads.dot.gov/grants-loans/consolidated-rail-infrastructure-and-safety-improvements-crisi-program ,crisi
Great Lakes Restoration Initiative,"states, local governments, tribal governments, nonprofit organizations, and educational institutions located within the Great Lakes Basin of Minnesota, Wisconsin, Michigan, Illinois, Indiana, Ohio, Pennsylvania, and New York",implement protection and restoration projects,"addressing the presence of toxic substances and invasive species, evaluating the effects of waterway pollution on health, and protecting existing habitats and species",https://www.epa.gov/great-lakes-funding/great-lakes-restoration-initiative-glri ,epa_great_lakes
Contract Tower Competitive Grant Program,municipal airports,modernize airport traffic control towers,"rehabilitating and modernizing non-approach control towers, acquiring and installing air traffic control communications equipment, and constructing remote towers certified by the Federal Aviation Administration",https://www.faa.gov/bil/airport-infrastructure/fct ,airport_infrastructure_comp
Climate-Ready Coasts,"states, local governments, tribal governments, tribes, tribal and Native organizations, NGOs, and the private sector in coastal and Great Lakes communities",support natural and nature-based infrastructure projects in coastal areas,"enhancing coastal resilience, providing storm protection and flood reduction, increasing carbon sequestration and storage, and conserving lands, waters, and biodiversity",https://www.noaa.gov/infrastructure-law/infrastructure-law-climate-ready-coasts ,climate_coasts
Environmental Quality Incentives Program (EQIP),"farmers, ranchers, and forest landowners",help integrate conservation into working lands,"improved water and air quality, conserved ground and surface water, increased soil health, reduced soil erosion and sedimentation, improved or created wild habitat, and mitigation against drought and weather volatility",https://www.nrcs.usda.gov/programs-initiatives/eqip-environmental-quality-incentives,ag_eqip
Drought mitigation funding opportunities,public entities and tribal governments,"mitigate drought in the western Reclamation States, as authorized in the Reclamation Act of 1902","compensating voluntary reductions in water diversion or consumptive water use, ecosystem and habitat restoration projects, and other system conservation projects",https://www.usbr.gov/newsroom/news-release/4353,doi_drought
Green and Resilient Retrofit Program (GRRP)—Leading Edge cohort,property owners,achieve a net-zero energy or net-zero carbon building certification,"utility efficiency, renewable energy generation, green and healthy housing, and efforts to make homes that serve people with low incomes, older adults, and persons with disabilities more resilient against extreme weather events",https://www.hud.gov/grrp/leadingedge,grrp_leading
Green and Resilient Retrofit Program (GRRP)—Comprehensive cohort,property owners with high efficiency and resilience needs,achieve a net-zero energy or net-zero carbon building certification,"utility efficiency, renewable energy generation, green and healthy housing, and efforts to make homes that serve people with low incomes, older adults, and persons with disabilities more resilient against extreme weather events",https://www.hud.gov/GRRP/comprehensive,grrp_comp
Green and Resilient Retrofit Program (GRRP)—Elements cohort,property owners with recently closed recapitalization transactions,improve recently closed rehabilitation projects or projects in their final planning stages ,"utility efficiency, renewable energy generation, green and healthy housing, and efforts to make homes that serve people with low incomes, older adults, and persons with disabilities more resilient against extreme weather events",https://www.hud.gov/GRRP/elements,grrp_elements
