"","cbsa","GEOID","total_cbsa_pop","acp_outreach","ag_rcpp","ag_reap","ag_reconnect","ag_urban_forest","airport_infrastructure_comp","airport_infrastructure_formula","airport_terminal","asap","bric","bridge","brownfield","buses","capital_investment","carbon_capture_dem","cdbg_entitlement","charge_fuel_infra","clean_hydrogen","clean_school_bus","climate_coasts","coc","crisi","culvert_restore","dac_hubs","dhs_flood","doe_battery","doe_carbon_storage","doe_grid_innovation","doe_grid_resilience","doe_hydrogen_electro","doe_rural_energy","doi_aging_infra","doi_drought","doi_rural_water","doi_water_recycle","doi_water_storage","dot_tc","elderly","epa_great_lakes","ferry_rural_comms","fhwa_carbon","fhwa_protect_comp","fhwa_stp","fhwa_tap","fra_intercity_rail","fra_rail_cross","fs_wildfire","fta_5307_5340","fta_5310","fta_5337_combined","fta_5339","fta_rail_vehicle","grrp_comp","grrp_elements","grrp_leading","hcv","home","hud_disability","hud_esg","hud_hopwa","indian_health","indian_water","infra","land_port","low_no_emission","mega","motor_carrier_safety","national_lab","natural_gas","ntia_middle_mile","ports","public_hsg","public_hsg_cap","raise","reconnect_community","rural_surface","s8_project","safe_streets","smart_grid","tribal_broadband","ttp"
"1","Aberdeen, SD Micro Area",10100,42864,0,0,0.976545842217484,0,0,0,0.975479744136461,0,0,0,0,0,0.916844349680171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761194029850746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389125799573561,0.497867803837953,0,0,0,0.823027718550107,0,0,0,0
"2","Aberdeen, WA Micro Area",10140,73769,0,0,0,0,0,0,0.643923240938166,0,0,0,0,0.97228144989339,0.961620469083156,0,0,0,0,0,0,0.950959488272921,0.695095948827292,0,0.997867803837953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692963752665245,0,0.673773987206823,0,0,0,0,0,0,0,0,0,0,0,0,0.997867803837953,0.26865671641791,0,0,0,0,0.420042643923241,0.888059701492537,0,0.93816631130064,0.955223880597015
"3","Abilene, TX Metro Area",10180,171354,0,0,0,0.899786780383795,0,0,0.895522388059702,0,0,0,0,0,0,0,0,0.76545842217484,0,0,0,0,0.599147121535181,0,0,0,0.97228144989339,0,0,0,0,0,0,0,0,0,0,0,0,0.608742004264392,0,0,0.876332622601279,0,0,0,0,0,0,0.753731343283582,0,0,0,0,0,0,0,0.739872068230277,0.842217484008529,0,0,0,0,0,0,0,0,0,0,0,0,0.911513859275053,0,0.541577825159915,0.554371002132196,0,0,0,0.164179104477612,0,0,0,0
"4","Ada, OK Micro Area",10220,38385,0,0,0,0.956289978678038,0.943496801705757,0,0.823027718550107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439232409381663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309168443496802,0,0.971215351812367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785714285714286,0.932835820895522,0,0,0,0.266524520255864,0,0,0.980810234541578,0.962686567164179
"5","Adrian, MI Micro Area",10300,98310,0,0,0.902985074626866,0,0,0,0,0,0,0,0,0,0,0,0,0.8272921108742,0,0,0.905117270788913,0,0.572494669509595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572494669509595,0,0,0,0
"6","Aguadilla-Isabela, PR Metro Area",10380,295172,0,0,0,0,0,0.991471215351812,0,0.957356076759062,0,0,0,0,0,0,0,0.876332622601279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948827292110874,0.769722814498934,0,0,0,0,0,0,0,0,0,0.685501066098081,0.995735607675906,0,0.880597014925373,0,0,0,0,0.373134328358209,0.724946695095949,0,0,0,0,0,0,0,0,0,0,0,0,0.859275053304904,0,0,0,0,0,0,0.389125799573561,0,0,0,0
"7","Akron, OH Metro Area",10420,703286,0,0,0,0,0.873134328358209,0,0.795309168443497,0,0,0,0,0,0.980810234541578,0,0,0.97228144989339,0,0,0,0,0.93816631130064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699360341151386,0.995735607675906,0,0.94136460554371,0,0.977611940298508,0.981876332622601,0,0,0,0.867803837953092,0.992537313432836,0.943496801705757,0.968017057569296,0,0,0,0,0.831556503198294,0.862473347547974,0.764392324093817,0.970149253731343,0,0,0,0,0,0.868869936034115,0,0,0,0,0,0,0.926439232409382,0.871002132196162,0.810234541577825,0.912579957356077,0,0.846481876332623,0,0,0,0
"8","Alamogordo, NM Micro Area",10460,66804,0,0,0.884861407249467,0.971215351812367,0,0,0,0,0,0,0,0,0.962686567164179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942430703624733,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997867803837953,0,0,0,0.94136460554371,0,0,0,0,0,0,0.618336886993603,0.64818763326226,0,0,0,0,0,0,0,0.984008528784648
"9","Albany, GA Metro Area",10500,147431,0,0,0,0,0,0,0.76865671641791,0,0,0,0,0,0,0,0,0.784648187633262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756929637526652,0,0,0.809168443496802,0,0,0,0,0,0,0.700426439232409,0,0,0,0,0,0,0,0.263326226012793,0.934968017057569,0.945628997867804,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640724946695096,0.585287846481876,0,0,0,0.862473347547974,0.756929637526652,0,0,0
"10","Albany-Lebanon, OR Metro Area",10540,127216,0,0.980810234541578,0.883795309168444,0,0,0,0,0,0,0,0,0.934968017057569,0,0,0,0.618336886993603,0,0,0,0,0.569296375266525,0,0,0,0,0,0,0.99680170575693,0,0,0,0,0,0,0,0,0,0,0,0,0.606609808102345,0,0,0,0,0,0,0.602345415778252,0,0,0,0,0,0,0,0.97228144989339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11407249466951,0.478678038379531,0,0,0
