"","program","percent_poc_concentration","poverty_rate_concentration","med_hh_income_concentration","pop_density_concentration","access_to_car_concentration","age_over_64_concentration","age_under_18_concentration","airports_primary_concentration","annual_vehicle_mi_per_hh_concentration","avg_hh_person_trips_concentration","bridges_concentration","bridges_poor_condition_concentration","broadband_speed_concentration","capacity_environment_concentration","capacity_housing_concentration","capacity_transport_concentration","cnw_500_concentration","commute_time_concentration","contaminated_sites_concentration","diesel_pm_concentration","docks_concentration","employment_access_index_concentration","energy_cost_hh_concentration","freq_fatal_accidents_concentration","ghg_per_acre_concentration","green_commute_concentration","hh_int_access_concentration","highway_miles_concentration","homelessness_concentration","housing_cost_burden_concentration","housing_units_concentration","hud_202_concentration","hud_hcv_concentration","hud_pbs8_concentration","hud_ph_concentration","incomplete_kitchen_concentration","incomplete_plumbing_concentration","intercity_km_concentration","overcrowded_housing_concentration","ozone_concentration","permits_concentration","pm25_concentration","pub_transit_commute_concentration","pub_transit_stops_concentration","rail_transit_km_concentration","rr_freight_route_miles_concentration","rr_incident_killed_concentration","rr_incident_number_concentration","rr_pax_route_miles_concentration","stations_elevated_concentration","stations_subway_concentration","superfund_site_concentration","transport_costs_concentration","transport_trade_jobs_concentration","vacancy_rate_concentration","water_system_violations_concentration"
"1","acp_outreach",0.368668814962779,0.135273060253877,0.0661925391865392,0.507817321511893,NA,NA,NA,NA,NA,NA,NA,NA,-0.210851679261116,NA,-0.194882959510147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0765249349911601,NA,NA,-0.24862554325452,-0.198560981022716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ag_rcpp",-0.794060571919723,0.270720730967678,0.310424909091938,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0347052312554232,NA,NA,-0.313018416238379,NA,0.949223280111236,-1,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.618222367529261,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88539847949412
"3","ag_reap",-0.61793332137693,-0.0900947158500772,1.23130692358506,-0.978279865835947,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129899161943555,NA,NA,NA,NA,NA,-0.914898315718816,NA,NA,1.57032563293215,NA,-0.915057617783775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.809782865573866,NA,-0.820382583567959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ag_reconnect",-0.0338021269565707,1.19062177392668,1.57503120637636,-1,NA,NA,NA,NA,NA,NA,NA,NA,2.45537104993948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26513783573142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ag_urban_forest",0.173675607208805,0.179842100917784,-0.137788410515572,0.614622515553275,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.344782517529713,NA,NA,NA,NA,NA,0.72569449509107,NA,NA,NA,NA,0.580102198730752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0143438074322906,NA,-0.120016528001977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","airport_infrastructure_comp",-0.290411518861277,0.220694046506026,0.667814880856783,-0.991661783076052,NA,NA,NA,1.24870967165017,NA,NA,NA,NA,NA,NA,NA,-0.478590736747143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","airport_infrastructure_formula",0.351702279158111,-0.060260047552596,-0.210212604713294,0.32338692473912,NA,NA,NA,1.37901711904157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","airport_terminal",0.168783550158001,-0.0411712156803519,-0.351634954598714,0.629447700534297,NA,NA,NA,1.14152952552045,NA,NA,NA,NA,NA,NA,NA,-0.275934204208668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","asap",1.5423066459839,0.976985050955914,-0.146421058894456,2.45345930098935,NA,NA,NA,NA,NA,-0.610952103276674,NA,NA,NA,NA,NA,-0.413372006972769,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.64659873325411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82613775156582,1.11948651479746,NA,NA,NA,NA,NA,2.63233401101396,2.25955629216238,NA,-1,NA,NA,NA
"10","bric",0.533712188301672,0.406059406683015,0.135725697016096,0.201382475841612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","bridge",-0.430602120833351,-0.0990682192790971,-0.0267880845845723,-0.478188480531867,NA,NA,NA,NA,NA,-0.565937542120309,-0.554009200587755,0.0795189780945569,NA,NA,NA,-0.804859234386116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","brownfield",-0.247939906829163,0.367212427073053,0.876346847382008,-0.347832399670632,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00361487207490052,NA,NA,-0.0267043269289519,NA,1.49409558974799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422919435986676,NA,NA,NA,0.930532450851389
"13","buses",0.336593384438115,-0.00384833190610601,-0.188234902671453,0.226125683983691,NA,NA,NA,NA,-0.281445873226335,-0.449641104565061,NA,NA,NA,NA,NA,-0.152832531720352,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638070145416932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167786280710804,1.01937677758147,NA,NA,NA,NA,NA,NA,NA,NA,-0.503163890433155,NA,NA,NA
"14","capital_investment",0.85974558412446,-0.583819153100284,-0.940636126708069,1.29738023292004,1.80551368160466,NA,NA,NA,-0.866785763646165,-0.786577433359111,NA,NA,NA,NA,NA,-0.266547755361075,NA,0.930166547817959,NA,NA,NA,-0.916926445723801,NA,NA,NA,1.99410040800982,NA,-0.35347554303917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03767562203608,1.56966745364927,NA,NA,NA,NA,NA,NA,NA,NA,-0.976123420655671,NA,NA,NA
"15","carbon_capture_dem",-1,-0.928278290114564,-0.874856307232956,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-1,NA,1.78066576813245,0.248963375204687,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-0.967433023209727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","cdbg_entitlement",0.541348835079944,0.22360408813027,-0.0746832840966091,0.863522721964692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.119309578811942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312742570063449,0.23399813303343,0.0947889204559365,NA,NA,NA,0.448746223512765,0.0217455403415665,-0.148858763443326,NA,0.32737742035311,NA,0.0656692481437946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.323310312096555,NA
