"","county","state","year","GISJOIN","GEO_ID","FIPS","total_county_pop","state_pop_shr","county_area","state_area_shr","ag_reconnect","airport_infrastructure","airport_terminal","asap","bridge","buses","capital_investment","clean_school_bus","doe_nuclear","doi_aging_infra","doi_rural_water","doi_water_recycle","doi_water_storage","ferry_rural_comms","fra_rail_cross","fs_wildfire","fta_rail_vehicle","indian_water","infra","low_no_emission","natural_gas","ntia_middle_mile","ports","raise","reconnect_community","rural_surface","safe_streets","tribal_broadband","cdbg_entitlement","coc","home","public_hsg","public_hsg_cap","elderly","hcv","s8_project","fy_2022_ttp","fta_5307_5340","fta_5310","fta_5339","fta_5337_combined"
"1","Autauga County","AL",2022,"G0100010","0500000US01001",1001,55639,0.011653219,1565308871,0.011701807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916459627329193,0,0,0,0,0,0,0,0,0,0.642857142857143,0.578260869565217,0.00031055900621118,0.585403726708075,0.391614906832298,0,0.756211180124224,0.873913043478261,0.858074534161491,0
"2","Baldwin County","AL",2022,"G0100030","0500000US01003",1003,218289,0.045447333,4248013315,0.031756948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892236024844721,0,0,0,0,0.80527950310559,0,0,0,0,0.505900621118012,0.512422360248447,0.804347826086957,0.619254658385093,0.420807453416149,0,0.733229813664596,0.816770186335404,0.813664596273292,0
"3","Barbour County","AL",2022,"G0100050","0500000US01005",1005,25026,0.00505415,2342683685,0.017513242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93695652173913,0,0,0,0,0,0,0,0,0,0.965527950310559,0.982608695652174,0.00031055900621118,0.865527950310559,0.864285714285714,0,0,0,0,0
"4","Bibb County","AL",2022,"G0100070","0500000US01007",1007,22374,0.004484485,1621761322,0.01212383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91304347826087,0,0,0,0,0.90776397515528,0,0,0,0,0.664906832298137,0.68167701863354,0.00031055900621118,0,0.453726708074534,0,0,0,0,0
"5","Blount County","AL",2022,"G0100090","0500000US01009",1009,57755,0.011782279,1685119485,0.012597478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838509316770186,0,0,0,0,0.66583850931677,0.634472049689441,0.00031055900621118,0.579813664596273,0.334472049689441,0,0.696583850931677,0.804037267080745,0.803105590062112,0
"6","Bullock County","AL",2022,"G0100110","0500000US01011",1011,10173,0.002078166,1619114267,0.012104041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964596273291925,0,0,0,0,0,0,0,0,0,0,0,0.00031055900621118,0,0,0,0,0,0,0
"7","Butler County","AL",2022,"G0100130","0500000US01013",1013,19726,0.003837985,2014703708,0.015061356,0.932608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031055900621118,0.768633540372671,0.849068322981366,0,0,0,0,0
"8","Calhoun County","AL",2022,"G0100150","0500000US01015",1015,114324,0.023295833,1585782312,0.011854861,0,0,0,0,0,0,0,0.974844720496894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888819875776398,0,0,0,0,0,0,0.867391304347826,0,0.936335403726708,0.933229813664596,0.897826086956522,0.93695652173913,0.742236024844721,0.703726708074534,0,0.775465838509317,0,0,0
"9","Chambers County","AL",2022,"G0100170","0500000US01017",1017,33427,0.006970041,1562057271,0.011677499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999068322981366,0.928571428571429,0,0,0,0,0,0,0,0,0,0.950310559006211,0.953105590062112,0.00031055900621118,0,0.510869565217391,0,0,0,0,0
"10","Cherokee County","AL",2022,"G0100190","0500000US01019",1019,26035,0.004997324,1553931706,0.011616755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808074534161491,0.813975155279503,0.00031055900621118,0,0.51832298136646,0,0,0,0,0
