"","quantile","quantile_range_min","quantile_range_max","indicator","program","data_level","funding_average_per_1k"
"1","0%",0,0.193888039814189,"percent_poc","acp_outreach","state",394.223834653742
"2","25%",0.193888039814189,0.266217609816977,"percent_poc","acp_outreach","state",200.296810113613
"3","50%",0.266217609816977,0.436273972235218,"percent_poc","acp_outreach","state",213.944087739817
"4","75%",0.436273972235218,NA,"percent_poc","acp_outreach","state",1022.63787701647
"5","0%",0,0.107621309040359,"poverty_rate","acp_outreach","state",356.890630710364
"6","25%",0.107621309040359,0.12364892705036,"poverty_rate","acp_outreach","state",300.549933474433
"7","50%",0.12364892705036,0.142226700706511,"poverty_rate","acp_outreach","state",199.387471551513
"8","75%",0.142226700706511,NA,"poverty_rate","acp_outreach","state",977.66850141855
"9","0%",0,43.5056726746042,"pop_density","acp_outreach","state",488.628472710919
"10","25%",43.5056726746042,112.985445054009,"pop_density","acp_outreach","state",271.592510694943
"11","50%",112.985445054009,229.066978834592,"pop_density","acp_outreach","state",164.778868372258
"12","75%",229.066978834592,NA,"pop_density","acp_outreach","state",897.520517922144
"13","0%",0,57290,"med_hh_income","acp_outreach","state",283.274319397443
"14","25%",57290,62043,"med_hh_income","acp_outreach","state",230.352693440841
"15","50%",62043,70305,"med_hh_income","acp_outreach","state",379.239109384714
"16","75%",70305,NA,"med_hh_income","acp_outreach","state",948.322806869398
"17","0%",0,163.291803902892,"broadband_speed","acp_outreach","state",391.474650550333
"18","25%",163.291803902892,214.374846897849,"broadband_speed","acp_outreach","state",281.322268222939
"19","50%",214.374846897849,267.867542175432,"broadband_speed","acp_outreach","state",144.267157788031
"20","75%",267.867542175432,NA,"broadband_speed","acp_outreach","state",1014.28845878992
"21","0%",0,0.835097223342823,"hh_int_access","acp_outreach","state",331.018417851884
"22","25%",0.835097223342823,0.849904573953869,"hh_int_access","acp_outreach","state",300.641271427976
"23","50%",0.849904573953869,0.864495401964272,"hh_int_access","acp_outreach","state",955.748830226924
"24","75%",0.864495401964272,NA,"hh_int_access","acp_outreach","state",249.440036998846
"25","0%",0,0.445308613253637,"housing_cost_burden","acp_outreach","state",352.803915703425
"26","25%",0.445308613253637,0.470854873032786,"housing_cost_burden","acp_outreach","state",940.750091831626
"27","50%",0.470854873032786,0.491994059946055,"housing_cost_burden","acp_outreach","state",224.265271096879
"28","75%",0.491994059946055,NA,"housing_cost_burden","acp_outreach","state",317.048778069015
"29","0%",0,0.423833512076162,"housing_units","acp_outreach","state",240.638297547263
"30","25%",0.423833512076162,0.446324830180074,"housing_units","acp_outreach","state",287.265189224754
"31","50%",0.446324830180074,0.45548546729786,"housing_units","acp_outreach","state",869.508386852041
"32","75%",0.45548546729786,NA,"housing_units","acp_outreach","state",447.653057454719
"33","0%",0,0.00145226514175216,"capacity_housing","acp_outreach","state",188.00250744357
"34","25%",0.00145226514175216,0.00166938851797574,"capacity_housing","acp_outreach","state",166.091527463157
"35","50%",0.00166938851797574,0.00209974729456889,"capacity_housing","acp_outreach","state",295.351287454728
"36","75%",0.00209974729456889,NA,"capacity_housing","acp_outreach","state",1196.83238859867
"37","0%",0,0.193888039814189,"percent_poc","ag_acep","state",995.983192400152
"38","25%",0.193888039814189,0.266217609816977,"percent_poc","ag_acep","state",177.842754524178
"39","50%",0.266217609816977,0.436273972235218,"percent_poc","ag_acep","state",63.1495973717207
"40","75%",0.436273972235218,NA,"percent_poc","ag_acep","state",215.162301829875
"41","0%",0,0.107621309040359,"poverty_rate","ag_acep","state",139.006134639683
"42","25%",0.107621309040359,0.12364892705036,"poverty_rate","ag_acep","state",379.5375144237
"43","50%",0.12364892705036,0.142226700706511,"poverty_rate","ag_acep","state",985.564246463404
"44","75%",0.142226700706511,NA,"poverty_rate","ag_acep","state",25.9369558500907
"45","0%",0,43.5056726746042,"pop_density","ag_acep","state",775.547237547284
"46","25%",43.5056726746042,112.985445054009,"pop_density","ag_acep","state",456.859581602331
"47","50%",112.985445054009,229.066978834592,"pop_density","ag_acep","state",96.28764839422
"48","75%",229.066978834592,NA,"pop_density","ag_acep","state",143.483010841443
"49","0%",0,57290,"med_hh_income","ag_acep","state",585.993835752267
"50","25%",57290,62043,"med_hh_income","ag_acep","state",627.184713031976
"51","50%",62043,70305,"med_hh_income","ag_acep","state",138.976941740756
"52","75%",70305,NA,"med_hh_income","ag_acep","state",137.254115296189
"53","0%",0,8.565,"ghg_per_acre","ag_acep","state",240.847588263687
"54","25%",8.565,11.675,"ghg_per_acre","ag_acep","state",1040.6658824135
"55","50%",11.675,17.665,"ghg_per_acre","ag_acep","state",120.788675816694
"56","75%",17.665,NA,"ghg_per_acre","ag_acep","state",140.379626213881
"57","0%",0,58.0885376648089,"ozone","ag_acep","state",576.756247805999
"58","25%",58.0885376648089,59.8642109750403,"ozone","ag_acep","state",610.086881849417
"59","50%",59.8642109750403,62.5809402477106,"ozone","ag_acep","state",160.297252515044
"60","75%",62.5809402477106,NA,"ozone","ag_acep","state",210.113868038667
"61","0%",0,6.33156456905104,"pm25","ag_acep","state",772.649941879993
"62","25%",6.33156456905104,7.67139115883006,"pm25","ag_acep","state",377.683238337658
"63","50%",7.67139115883006,8.38989230240257,"pm25","ag_acep","state",230.458256055428
"64","75%",8.38989230240257,NA,"pm25","ag_acep","state",182.841086985172
"65","0%",0,0.151093845353934,"diesel_pm","ag_acep","state",708.262446723327
"66","25%",0.151093845353934,0.205776492796614,"diesel_pm","ag_acep","state",458.998975343312
"67","50%",0.205776492796614,0.265572294098041,"diesel_pm","ag_acep","state",150.25644312877
"68","75%",0.265572294098041,NA,"diesel_pm","ag_acep","state",160.776412355683
"69","0%",0,0.000126032292573617,"contaminated_sites","ag_acep","state",225.249984066428
"70","25%",0.000126032292573617,0.000183116907269884,"contaminated_sites","ag_acep","state",31.6170595263258
"71","50%",0.000183116907269884,0.000294143955083702,"contaminated_sites","ag_acep","state",156.307638976622
"72","75%",0.000294143955083702,NA,"contaminated_sites","ag_acep","state",1109.02981885962
"73","0%",0,0.00420181926993587,"water_system_violations","ag_acep","state",135.518978919017
"74","25%",0.00420181926993587,0.00829238701417754,"water_system_violations","ag_acep","state",191.627500394066
"75","50%",0.00829238701417754,0.0222316781566855,"water_system_violations","ag_acep","state",430.565444340227
"76","75%",0.0222316781566855,NA,"water_system_violations","ag_acep","state",772.649941879993
"77","0%",0,0.00354240408132415,"capacity_environment","ag_acep","state",96.6963073105911
"78","25%",0.00354240408132415,0.00424234252788835,"capacity_environment","ag_acep","state",573.019512843743
"79","50%",0.00424234252788835,0.00522636917872104,"capacity_environment","ag_acep","state",85.9270699990577
"80","75%",0.00522636917872104,NA,"capacity_environment","ag_acep","state",787.038882554367
"81","0%",0,0.00323146496922346,"cnw_500","ag_acep","state",723.747489786177
"82","25%",0.00323146496922346,0.00540951946998606,"cnw_500","ag_acep","state",725.591637995747
"83","50%",0.00540951946998606,0.00778512084633031,"cnw_500","ag_acep","state",182.696907949672
"84","75%",0.00778512084633031,NA,"cnw_500","ag_acep","state",64.9139142469372
"85","0%",0,0.193888039814189,"percent_poc","ag_csp","state",2650.29391020572
"86","25%",0.193888039814189,0.266217609816977,"percent_poc","ag_csp","state",938.902827413778
"87","50%",0.266217609816977,0.436273972235218,"percent_poc","ag_csp","state",784.159067139301
"88","75%",0.436273972235218,NA,"percent_poc","ag_csp","state",381.265542855978
"89","0%",0,0.107621309040359,"poverty_rate","ag_csp","state",1494.08988214779
"90","25%",0.107621309040359,0.12364892705036,"poverty_rate","ag_csp","state",806.448897981706
"91","50%",0.12364892705036,0.142226700706511,"poverty_rate","ag_csp","state",1501.28961154915
"92","75%",0.142226700706511,NA,"poverty_rate","ag_csp","state",1057.90241303231
"93","0%",0,43.5056726746042,"pop_density","ag_csp","state",3006.85218609209
"94","25%",43.5056726746042,112.985445054009,"pop_density","ag_csp","state",1115.88609823742
"95","50%",112.985445054009,229.066978834592,"pop_density","ag_csp","state",513.303600448928
"96","75%",229.066978834592,NA,"pop_density","ag_csp","state",86.1650741194047
"97","0%",0,57290,"med_hh_income","ag_csp","state",1423.15344319735
"98","25%",57290,62043,"med_hh_income","ag_csp","state",1467.52750000758
"99","50%",62043,70305,"med_hh_income","ag_csp","state",1678.48501223385
"100","75%",70305,NA,"med_hh_income","ag_csp","state",297.013616449491
"101","0%",0,8.565,"ghg_per_acre","ag_csp","state",1778.3923445134
"102","25%",8.565,11.675,"ghg_per_acre","ag_csp","state",2167.63283940907
"103","50%",11.675,17.665,"ghg_per_acre","ag_csp","state",868.430841569385
"104","75%",17.665,NA,"ghg_per_acre","ag_csp","state",169.236163293979
"105","0%",0,58.0885376648089,"ozone","ag_csp","state",2301.91767461102
"106","25%",58.0885376648089,59.8642109750403,"ozone","ag_csp","state",1782.44965679687
"107","50%",59.8642109750403,62.5809402477106,"ozone","ag_csp","state",479.72350282377
"108","75%",62.5809402477106,NA,"ozone","ag_csp","state",426.80391605635
"109","0%",0,6.33156456905104,"pm25","ag_csp","state",2739.2133296345
"110","25%",6.33156456905104,7.67139115883006,"pm25","ag_csp","state",994.375697346028
"111","50%",7.67139115883006,8.38989230240257,"pm25","ag_csp","state",466.048128343123
"112","75%",8.38989230240257,NA,"pm25","ag_csp","state",790.014379102485
"113","0%",0,0.151093845353934,"diesel_pm","ag_csp","state",2730.16140808571
"114","25%",0.151093845353934,0.205776492796614,"diesel_pm","ag_csp","state",1298.30534850763
"115","50%",0.205776492796614,0.265572294098041,"diesel_pm","ag_csp","state",363.97078611446
"116","75%",0.265572294098041,NA,"diesel_pm","ag_csp","state",354.923123281536
"117","0%",0,0.000126032292573617,"contaminated_sites","ag_csp","state",296.785279903742
"118","25%",0.000126032292573617,0.000183116907269884,"contaminated_sites","ag_csp","state",661.7862104421
"119","50%",0.000183116907269884,0.000294143955083702,"contaminated_sites","ag_csp","state",1244.36911570617
"120","75%",0.000294143955083702,NA,"contaminated_sites","ag_csp","state",2765.63607159023
"121","0%",0,0.00420181926993587,"water_system_violations","ag_csp","state",438.471679972796
"122","25%",0.00420181926993587,0.00829238701417754,"water_system_violations","ag_csp","state",1511.08530753753
"123","50%",0.00829238701417754,0.0222316781566855,"water_system_violations","ag_csp","state",801.438358480857
"124","75%",0.0222316781566855,NA,"water_system_violations","ag_csp","state",2204.70074982659
"125","0%",0,0.00354240408132415,"capacity_environment","ag_csp","state",306.013710400154
"126","25%",0.00354240408132415,0.00424234252788835,"capacity_environment","ag_csp","state",802.477242316867
"127","50%",0.00424234252788835,0.00522636917872104,"capacity_environment","ag_csp","state",824.278104108861
"128","75%",0.00522636917872104,NA,"capacity_environment","ag_csp","state",3050.92313195996
"129","0%",0,0.00323146496922346,"cnw_500","ag_csp","state",959.887427182085
"130","25%",0.00323146496922346,0.00540951946998606,"cnw_500","ag_csp","state",1570.25247716035
"131","50%",0.00540951946998606,0.00778512084633031,"cnw_500","ag_csp","state",480.853721643426
"132","75%",0.00778512084633031,NA,"cnw_500","ag_csp","state",989.989988815722
"133","0%",0,0.193888039814189,"percent_poc","ag_eqip","state",1764.07559593766
"134","25%",0.193888039814189,0.266217609816977,"percent_poc","ag_eqip","state",593.773488343843
